n_components,reconstruction_error,alpha,l1_ratio,topics,time
8,135.22723614534098,0,0.0,"['0000000004', '00000000', '00000000b', '00000', '000000', '00', '000', '0000']",14.912544809980318
8,137.12064145306496,1,0.0,"['00', '000000', '0000000004', '00000000', '00000', '0000', '000', '00000000b']",1.5084720950108021
8,137.12064145306496,1,0.25,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.346358003997011
8,137.12064145306496,1,0.5,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.805440346011892
8,137.12064145306496,1,0.75,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.5413633580028545
8,137.12064145306496,1,1.0,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",36.58747297999798
8,137.12064145306496,5,0.0,"['0000', '00000000b', '0000000004', '00000000', '000000', '00000', '000', '00']",1.4768258779949974
8,137.12064145306496,5,0.25,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.4875661190017127
8,137.12064145306496,5,0.5,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.5595207230071537
8,137.12064145306496,5,0.75,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.4554988520103507
8,137.12064145306496,5,1.0,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",46.27223322700593
8,137.12064145306496,10,0.0,"['000', '0000', '00000000b', '0000000004', '00000000', '000000', '00000', '00']",1.473242817010032
8,137.12064145306496,10,0.25,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.500621872022748
8,137.12064145306496,10,0.5,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.5644125640101265
8,137.12064145306496,10,0.75,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.5240041039942298
8,137.12064145306496,10,1.0,"['00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",50.59175099400454
9,135.119963065956,0,0.0,"['00', '00000000', '00000', '00000001', '000000', '000', '00000000b', '0000000004', '0000']",7.2292039369931445
9,137.12064145306496,1,0.0,"['00', '000', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000']",1.73889215500094
9,137.12064145306496,1,0.25,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.4601309830031823
9,137.12064145306496,1,0.5,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.6127285929978825
9,137.12064145306496,1,0.75,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.5653260670078453
9,137.12064145306496,1,1.0,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",54.26307933501084
9,137.12064145306496,5,0.0,"['0000000004', '000000', '000', '00000000b', '0000', '00000001', '00000000', '00000', '00']",1.5640804709983058
9,137.12064145306496,5,0.25,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.426491011021426
9,137.12064145306496,5,0.5,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.4248968829924706
9,137.12064145306496,5,0.75,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.4783004410273861
9,137.12064145306496,5,1.0,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",49.53809767100029
9,137.12064145306496,10,0.0,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.0672896789910737
9,137.12064145306496,10,0.25,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.203678257006686
9,137.12064145306496,10,0.5,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.3402609059994575
9,137.12064145306496,10,0.75,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.6524368670070544
9,137.12064145306496,10,1.0,"['00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",49.36399030900793
10,135.0256156072513,0,0.0,"['00000000b', '00000000', '00', '00000', '00000001b', '000000', '00000001', '0000000004', '0000', '000']",11.242775520979194
10,137.12064145306496,1,0.0,"['00', '00000001b', '00000001', '00000000', '00000', '0000', '0000000004', '000000', '000', '00000000b']",2.641976982995402
