n_components,reconstruction_error,alpha,l1_ratio
8,136.07520980686473,0.0,0.25
8,136.07520980686473,0.0,0.5
8,136.07520980686473,0.0,0.75
8,136.07520980686473,0.0,1.0
8,137.12038506363666,0.25,0.0
8,137.12038506363666,0.25,0.25
8,137.12038506363666,0.25,0.5
8,137.12038506363666,0.25,0.75
8,137.12038506363666,0.25,1.0
8,137.12038506363666,0.5,0.0
8,137.12038506363666,0.5,0.25
8,137.12038506363666,0.5,0.5
8,137.12038506363666,0.5,0.75
8,137.12038506363666,0.5,1.0
8,137.12038506363666,0.75,0.0
8,137.12038506363666,0.75,0.25
8,137.12038506363666,0.75,0.5
8,137.12038506363666,0.75,0.75
8,137.12038506363666,0.75,1.0
8,137.12038506363666,1.0,0.0
8,137.12038506363666,1.0,0.25
8,137.12038506363666,1.0,0.5
8,137.12038506363666,1.0,0.75
8,137.12038506363666,1.0,1.0
9,136.07520980686473,0.0,0.0
9,136.07520980686473,0.0,0.25
9,136.07520980686473,0.0,0.5
9,136.07520980686473,0.0,0.75
9,136.07520980686473,0.0,1.0
9,137.12038506363666,0.25,0.0
9,137.12038506363666,0.25,0.25
9,137.12038506363666,0.25,0.5
9,137.12038506363666,0.25,0.75
9,137.12038506363666,0.25,1.0
9,137.12038506363666,0.5,0.0
9,137.12038506363666,0.5,0.25
9,137.12038506363666,0.5,0.5
9,137.12038506363666,0.5,0.75
9,137.12038506363666,0.5,1.0
9,137.12038506363666,0.75,0.0
9,137.12038506363666,0.75,0.25
9,137.12038506363666,0.75,0.5
9,137.12038506363666,0.75,0.75
9,137.12038506363666,0.75,1.0
9,137.12038506363666,1.0,0.0
9,137.12038506363666,1.0,0.25
9,137.12038506363666,1.0,0.5
9,137.12038506363666,1.0,0.75
9,137.12038506363666,1.0,1.0
10,136.07520980686473,0.0,0.0
10,136.07520980686473,0.0,0.25
10,136.07520980686473,0.0,0.5
10,136.07520980686473,0.0,0.75
10,136.07520980686473,0.0,1.0
10,137.12038506363666,0.25,0.0
10,137.12038506363666,0.25,0.25
10,137.12038506363666,0.25,0.5
10,137.12038506363666,0.25,0.75
10,137.12038506363666,0.25,1.0
10,137.12038506363666,0.5,0.0
10,137.12038506363666,0.5,0.25
10,137.12038506363666,0.5,0.5
10,137.12038506363666,0.5,0.75
10,137.12038506363666,0.5,1.0
10,137.12038506363666,0.75,0.0
10,137.12038506363666,0.75,0.25
10,137.12038506363666,0.75,0.5
10,137.12038506363666,0.75,0.75
10,137.12038506363666,0.75,1.0
10,137.12038506363666,1.0,0.0
10,137.12038506363666,1.0,0.25
10,137.12038506363666,1.0,0.5
10,137.12038506363666,1.0,0.75
10,137.12038506363666,1.0,1.0
11,136.07520980686473,0.0,0.0
11,136.07520980686473,0.0,0.25
11,136.07520980686473,0.0,0.5
11,136.07520980686473,0.0,0.75
11,136.07520980686473,0.0,1.0
11,137.12038506363666,0.25,0.0
11,137.12038506363666,0.25,0.25
11,137.12038506363666,0.25,0.5
11,137.12038506363666,0.25,0.75
11,137.12038506363666,0.25,1.0
11,137.12038506363666,0.5,0.0
11,137.12038506363666,0.5,0.25
11,137.12038506363666,0.5,0.5
11,137.12038506363666,0.5,0.75
11,137.12038506363666,0.5,1.0
11,137.12038506363666,0.75,0.0
11,137.12038506363666,0.75,0.25
11,137.12038506363666,0.75,0.5
11,137.12038506363666,0.75,0.75
11,137.12038506363666,0.75,1.0
11,137.12038506363666,1.0,0.0
11,137.12038506363666,1.0,0.25
11,137.12038506363666,1.0,0.5
11,137.12038506363666,1.0,0.75
11,137.12038506363666,1.0,1.0
12,136.07520980686473,0.0,0.0
